Game,Observations,Mean players,Std. dev.,Min,Max
Palworld,36,126708.86,69530.44,33821.0,212817.0
Warframe,36,106446.67,26356.52,72137.0,175546.0
Counter-Strike 2,36,1494634.11,79691.9,1263426.0,1631616.0
Sea of Thieves,36,11309.92,2165.63,7791.0,15873.0
PUBG: BATTLEGROUNDS,36,645912.81,33612.03,591321.0,755104.0
Dead by Daylight,36,41177.92,5391.53,34866.0,58019.0
Don't Starve Together,36,65046.69,29714.48,29375.0,115925.0
Deep Rock Galactic,36,27956.36,13540.08,10380.0,54160.0
Apex Legends,36,162393.64,37340.15,94512.0,226225.0
Destiny 2,36,45207.72,16533.21,24629.0,89537.0
No Man's Sky,36,22691.06,11777.95,8195.0,43695.0
HELLDIVERS 2,36,105813.86,40272.15,39817.0,178795.0
Path of Exile,36,72148.94,55060.82,5491.0,179556.0
Rainbow Six Siege,36,64519.25,8819.45,54120.0,91165.0
The Finals,36,17082.75,2065.38,14097.0,23470.0
V Rising,36,36805.97,25552.16,5780.0,76730.0
