term,coefficient,std_error,t_stat
day_index,-0.008954477123565813,0.0025601372028621373,-3.4976551700256704
game_counter_strike_2_2024-04-23_to_2024-05-28,2.2454775423401347,0.06973731033764675,32.19908441361186
game_dead_by_daylight_2023-11-14_to_2023-12-19,-1.352660874302438,0.06973731033764675,-19.396516265873565
game_deep_rock_galactic_2024-05-30_to_2024-07-04,-1.8643685982978875,0.06973731033764675,-26.734162663733148
game_destiny_2_2024-09-24_to_2024-10-29,-1.3121838169622815,0.06973731033764675,-18.81609443508917
game_don_t_starve_together_2023-04-13_to_2023-05-18,-0.9987120605316958,0.06973731033764675,-14.321057920017807
game_helldivers_2_2025-08-19_to_2025-09-23,-0.48302671342282444,0.06973731033764675,-6.926374290665307
game_no_man_s_sky_2025-01-15_to_2025-02-19,-2.1033450321456617,0.06973731033764675,-30.160971536784363
game_palworld_2024-12-09_to_2025-01-13,-0.42998307706823047,0.06973731033764675,-6.165753668823529
game_pubg__battlegrounds_2025-10-22_to_2025-11-26,1.4066601327295893,0.06973731033764675,20.170840055616868
game_sea_of_thieves_2024-10-03_to_2024-11-07,-2.6548594160899093,0.06973731033764675,-38.069426584361956
game_warframe_2025-11-26_to_2025-12-31,-0.4248806552504938,0.06973731033764675,-6.092587356658171
intercept,11.706047902621606,0.05501813673767601,212.7670727643052
post_update,0.689129148142806,0.05455501058140262,12.631821363402407
